created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-05-27 23:00:55 UTC,161,474,143,18,2,2,0,572,,,,
2019-05-27 23:01:13 UTC,162,432,134,16,1,1,0,1014,,,,
2019-05-27 23:01:29 UTC,163,396,130,10,0,0,0,1109,,,,
2019-05-27 23:01:45 UTC,164,369,119,17,0,0,0,577,,,,
2019-05-27 23:02:00 UTC,165,300,82,18,1,0,0,1026,,,,
2019-05-27 23:02:16 UTC,166,354,108,25,2,0,0,505,,,,
2019-05-27 23:02:31 UTC,167,336,104,20,2,0,0,587,,,,
2019-05-27 23:02:47 UTC,168,387,118,19,1,0,0,1033,,,,
2019-05-27 23:03:02 UTC,169,351,103,6,1,0,0,1085,,,,
2019-05-27 23:03:18 UTC,170,324,104,66,19712,7168,256,1069,,,,
2019-05-27 23:03:33 UTC,171,426,129,20,1,0,0,1047,,,,
2019-05-27 23:03:49 UTC,172,438,131,20,2,0,0,1080,,,,
2019-05-27 23:04:05 UTC,173,390,120,10,1,0,0,1100,,,,
2019-05-27 23:04:20 UTC,174,345,108,9,1,0,0,1065,,,,
2019-05-27 23:04:36 UTC,175,276,87,15,2,0,0,527,,,,
2019-05-27 23:04:51 UTC,176,303,95,17,2,0,0,1081,,,,
2019-05-27 23:05:07 UTC,177,512,256,512,513,12800,24320,1079,,,,
2019-05-27 23:05:22 UTC,178,512,513,27392,29440,4352,256,1076,,,,
2019-05-27 23:05:38 UTC,179,768,512,768,769,40448,33024,1068,,,,
2019-05-27 23:05:53 UTC,180,390,123,23,3,1,0,1088,,,,
2019-05-27 23:06:09 UTC,181,512,768,769,53504,36352,5632,1081,,,,
2019-05-27 23:06:24 UTC,182,769,37376,30976,4608,256,256,1079,,,,
2019-05-27 23:06:40 UTC,183,513,33536,30464,3328,256,0,1105,,,,
2019-05-27 23:06:56 UTC,184,459,145,13,1,0,0,1109,,,,
2019-05-27 23:07:11 UTC,185,360,106,17,1,0,0,570,,,,
2019-05-27 23:07:27 UTC,186,357,109,22,1,0,0,537,,,,
2019-05-27 23:07:42 UTC,187,402,125,14,4,1,0,1091,,,,
2019-05-27 23:07:58 UTC,188,769,31232,29440,3072,1280,256,1094,,,,
2019-05-27 23:08:16 UTC,189,375,118,11,0,0,0,1112,,,,
2019-05-27 23:08:32 UTC,190,513,33536,32512,3584,0,0,1100,,,,
2019-05-27 23:08:47 UTC,191,405,135,18,0,0,0,545,,,,
2019-05-27 23:09:03 UTC,192,315,102,12,0,0,0,1098,,,,
2019-05-27 23:09:18 UTC,193,327,101,20,1,0,0,1106,,,,
2019-05-27 23:09:34 UTC,194,351,111,25,2,1,0,1105,,,,
2019-05-27 23:09:49 UTC,195,402,124,10,2,0,0,953,,,,
2019-05-27 23:10:05 UTC,196,357,110,13,2,1,0,989,,,,
2019-05-27 23:10:20 UTC,197,321,102,12,1,66,19712,1106,,,,
2019-05-27 23:10:36 UTC,198,19712,7168,512,512,512,512,1084,,,,
2019-05-27 23:10:52 UTC,199,555,171,26,1,0,0,1111,,,,
2019-05-27 23:11:07 UTC,200,456,136,20,1,0,0,1056,,,,
2019-05-27 23:11:22 UTC,201,327,95,13,0,0,0,1109,,,,
2019-05-27 23:11:38 UTC,202,318,97,6,0,0,0,1135,,,,
2019-05-27 23:11:53 UTC,203,348,102,5,0,0,0,1063,,,,
2019-05-27 23:12:09 UTC,204,330,89,8,0,0,0,1130,,,,
2019-05-27 23:12:27 UTC,205,375,104,15,0,0,0,1025,,,,
2019-05-27 23:12:43 UTC,206,402,125,23,2,0,0,1073,,,,
2019-05-27 23:12:58 UTC,207,369,112,19,3,0,0,1098,,,,
2019-05-27 23:13:14 UTC,208,372,114,9,0,0,0,1061,,,,
2019-05-27 23:13:30 UTC,209,372,120,12,1,0,0,1105,,,,
2019-05-27 23:13:45 UTC,210,420,135,10,1,0,0,1073,,,,
2019-05-27 23:14:01 UTC,211,351,113,20,0,0,0,1100,,,,
2019-05-27 23:14:16 UTC,212,420,135,27,0,0,0,1097,,,,
2019-05-27 23:14:32 UTC,213,426,140,18,0,0,0,1061,,,,
2019-05-27 23:14:47 UTC,214,447,139,18,1,0,0,1071,,,,
2019-05-27 23:15:03 UTC,215,450,132,16,2,0,0,1090,,,,
2019-05-27 23:15:18 UTC,216,408,119,11,2,0,0,1091,,,,
2019-05-27 23:15:34 UTC,217,453,135,20,1,0,0,1073,,,,
2019-05-27 23:15:49 UTC,218,375,118,23,5,1,0,1048,,,,
2019-05-27 23:16:05 UTC,219,462,141,32,9,2,0,1020,,,,
2019-05-27 23:16:20 UTC,220,504,155,27,7,1,0,1071,,,,
2019-05-27 23:16:36 UTC,221,417,132,17,2,0,0,525,,,,
2019-05-27 23:16:52 UTC,222,327,99,19,0,0,0,1058,,,,
2019-05-27 23:17:07 UTC,223,354,108,25,1,1,0,1033,,,,
2019-05-27 23:17:25 UTC,224,396,122,19,2,1,0,707,,,,
2019-05-27 23:18:12 UTC,225,468,145,12,0,0,0,874,,,,
2019-05-27 23:18:28 UTC,226,417,131,18,0,0,0,942,,,,
2019-05-27 23:18:46 UTC,227,519,166,18,1,0,0,740,,,,
2019-05-27 23:19:01 UTC,228,444,144,19,0,0,0,832,,,,
2019-05-27 23:19:17 UTC,229,408,132,19,0,0,0,978,,,,
2019-05-27 23:19:33 UTC,230,512,513,39680,33024,2304,0,1042,,,,
2019-05-27 23:19:56 UTC,231,417,125,28,1,0,0,700,,,,
